Category,Date,Time,Confidence,Image Path
person,2024-02-19,20:39:13,69.96,
person,2024-02-19,20:39:13,61.65,
person,2024-02-19,20:39:13,61.36,
person,2024-02-19,20:39:14,62.97,
person,2024-02-19,20:39:14,61.42,
object,2024-02-19,20:39:14,57.82,
person,2024-02-19,20:39:14,62.97,
person,2024-02-19,20:39:14,61.42,
object,2024-02-19,20:39:14,57.82,
person,2024-02-19,20:39:14,68.29,
person,2024-02-19,20:39:14,63.62,
object,2024-02-19,20:39:14,62.6,
person,2024-02-19,20:39:14,65.33,
person,2024-02-19,20:39:14,63.95,
person,2024-02-19,20:39:14,65.95,
person,2024-02-19,20:39:14,65.19,
person,2024-02-19,20:39:14,62.49,
person,2024-02-19,20:39:14,62.49,
person,2024-02-19,20:39:14,65.07,
person,2024-02-19,20:39:14,66.52,
person,2024-02-19,20:39:14,66.17,
person,2024-02-19,20:39:14,63.38,
person,2024-02-19,20:39:14,66.78,
object,2024-02-19,20:39:14,55.53,
person,2024-02-19,20:39:15,63.12,
person,2024-02-19,20:39:15,65.61,
object,2024-02-19,20:39:15,58.65,
person,2024-02-19,20:39:15,67.75,
person,2024-02-19,20:39:15,65.09,
object,2024-02-19,20:39:15,57.13,
person,2024-02-19,20:39:15,67.01,
person,2024-02-19,20:39:15,67.1,
object,2024-02-19,20:39:15,56.54,
person,2024-02-19,20:39:15,65.0,
person,2024-02-19,20:39:15,66.04,
person,2024-02-19,20:39:15,67.21,
person,2024-02-19,20:39:15,63.55,
object,2024-02-19,20:39:15,56.59,
person,2024-02-19,20:39:15,63.55,
object,2024-02-19,20:39:15,56.59,
person,2024-02-19,20:39:16,66.2,
person,2024-02-19,20:39:16,66.12,
person,2024-02-19,20:39:16,66.52,
person,2024-02-19,20:39:16,67.47,
object,2024-02-19,20:39:16,55.08,
person,2024-02-19,20:39:16,67.69,
person,2024-02-19,20:39:16,67.69,
person,2024-02-19,20:39:16,67.47,
person,2024-02-19,20:39:16,65.95,
object,2024-02-19,20:39:16,56.21,
person,2024-02-19,20:39:16,65.48,
object,2024-02-19,20:39:16,56.66,
person,2024-02-19,20:39:16,67.07,
person,2024-02-19,20:39:16,67.07,
person,2024-02-19,20:39:16,65.23,
person,2024-02-19,20:39:16,66.92,
person,2024-02-19,20:39:16,65.7,
person,2024-02-19,20:39:17,63.55,
object,2024-02-19,20:39:17,55.38,
person,2024-02-19,20:39:17,68.15,
person,2024-02-19,20:39:17,67.03,
object,2024-02-19,20:39:17,57.75,
person,2024-02-19,20:39:17,67.03,
object,2024-02-19,20:39:17,57.75,
person,2024-02-19,20:39:17,66.52,
person,2024-02-19,20:39:17,66.62,
person,2024-02-19,20:39:17,64.88,
person,2024-02-19,20:39:17,67.78,
person,2024-02-19,20:39:17,65.69,
person,2024-02-19,20:39:17,65.69,
person,2024-02-19,20:39:17,66.08,
person,2024-02-19,20:39:17,66.08,
person,2024-02-19,20:39:17,67.4,
object,2024-02-19,20:39:17,56.65,
person,2024-02-19,20:39:18,66.7,
object,2024-02-19,20:39:18,55.24,
person,2024-02-19,20:39:18,66.81,
object,2024-02-19,20:39:18,55.69,
person,2024-02-19,20:39:18,67.46,
person,2024-02-19,20:39:18,67.46,
person,2024-02-19,20:39:18,66.73,
person,2024-02-19,20:39:18,65.08,
person,2024-02-19,20:39:18,60.27,
object,2024-02-19,20:39:18,56.79,
object,2024-02-19,20:39:18,56.71,
person,2024-02-19,20:39:18,62.85,
person,2024-02-19,20:39:18,64.16,
object,2024-02-19,20:39:18,55.93,
person,2024-02-19,20:39:18,66.07,
object,2024-02-19,20:39:18,55.19,
person,2024-02-19,20:39:18,66.07,
object,2024-02-19,20:39:18,55.19,
person,2024-02-19,20:39:18,65.85,
object,2024-02-19,20:39:18,59.35,
object,2024-02-19,20:39:18,56.72,
person,2024-02-19,20:39:19,65.19,
person,2024-02-19,20:39:19,66.47,
person,2024-02-19,20:39:19,68.71,
object,2024-02-19,20:39:19,58.71,
person,2024-02-19,20:39:19,72.29,
object,2024-02-19,20:39:19,57.8,
person,2024-02-19,20:39:19,70.94,
person,2024-02-19,20:39:19,71.75,
person,2024-02-19,20:39:19,71.18,
person,2024-02-19,20:39:19,71.8,
person,2024-02-19,20:39:19,71.8,
person,2024-02-19,20:39:19,70.98,
person,2024-02-19,20:39:19,69.64,
person,2024-02-19,20:39:19,68.35,
person,2024-02-19,20:39:19,66.52,
person,2024-02-19,20:39:20,69.18,
person,2024-02-19,20:39:20,69.18,
person,2024-02-19,20:39:20,68.24,
person,2024-02-19,20:39:20,71.23,
person,2024-02-19,20:39:20,65.93,
person,2024-02-19,20:39:20,68.09,
person,2024-02-19,20:39:20,68.47,
person,2024-02-19,20:39:20,68.47,
person,2024-02-19,20:39:20,67.77,
person,2024-02-19,20:39:20,66.08,
person,2024-02-19,20:39:20,61.35,
person,2024-02-19,20:39:20,66.32,
person,2024-02-19,20:39:20,66.32,
person,2024-02-19,20:39:21,68.27,
person,2024-02-19,20:39:21,64.17,
person,2024-02-19,20:39:21,72.73,
person,2024-02-19,20:39:21,69.99,
person,2024-02-19,20:39:21,69.99,
person,2024-02-19,20:39:21,70.31,
person,2024-02-19,20:39:21,72.09,
person,2024-02-19,20:39:21,71.18,
person,2024-02-19,20:39:21,71.18,
person,2024-02-19,20:39:21,70.45,
person,2024-02-19,20:39:21,70.67,
person,2024-02-19,20:39:21,71.5,
person,2024-02-19,20:39:21,73.07,
person,2024-02-19,20:39:22,73.14,
person,2024-02-19,20:39:22,73.14,
person,2024-02-19,20:39:22,72.88,
person,2024-02-19,20:39:22,73.61,
person,2024-02-19,20:39:22,72.5,
person,2024-02-19,20:39:22,73.17,
person,2024-02-19,20:39:22,73.17,
person,2024-02-19,20:39:22,72.79,
person,2024-02-19,20:39:22,73.24,
person,2024-02-19,20:39:22,69.79,
person,2024-02-19,20:39:22,71.99,
person,2024-02-19,20:39:22,70.78,
person,2024-02-19,20:39:22,70.78,
person,2024-02-19,20:39:22,71.9,
